competition_id,name,sub_type,type,country_id,country_name,domestic_league_code,url,is_major_national_league
CIT,italy-cup,domestic_cup,domestic_cup,75,Italy,IT1,https://www.transfermarkt.co.uk/italy-cup/startseite/wettbewerb/CIT,False
NLSC,johan-cruijff-schaal,domestic_super_cup,other,122,Netherlands,NL1,https://www.transfermarkt.co.uk/johan-cruijff-schaal/startseite/wettbewerb/NLSC,False
GRP,kypello-elladas,domestic_cup,domestic_cup,56,Greece,GR1,https://www.transfermarkt.co.uk/kypello-elladas/startseite/wettbewerb/GRP,False
POSU,supertaca-candido-de-oliveira,domestic_super_cup,other,136,Portugal,PO1,https://www.transfermarkt.co.uk/supertaca-candido-de-oliveira/startseite/wettbewerb/POSU,False
RUSS,russian-super-cup,domestic_super_cup,other,141,Russia,RU1,https://www.transfermarkt.co.uk/russian-super-cup/startseite/wettbewerb/RUSS,False
SUC,supercopa,domestic_super_cup,other,157,Spain,ES1,https://www.transfermarkt.co.uk/supercopa/startseite/wettbewerb/SUC,False
USC,uefa-super-cup,uefa_super_cup,international_cup,-1,,,https://www.transfermarkt.co.uk/uefa-super-cup/startseite/pokalwettbewerb/USC,False
DK1,superligaen,first_tier,domestic_league,39,Denmark,DK1,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
EL,europa-league,europa_league,international_cup,-1,,,https://www.transfermarkt.co.uk/europa-league/startseite/pokalwettbewerb/EL,False
ES1,laliga,first_tier,domestic_league,157,Spain,ES1,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,True
FR1,ligue-1,first_tier,domestic_league,50,France,FR1,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,True
IT1,serie-a,first_tier,domestic_league,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
NL1,eredivisie,first_tier,domestic_league,122,Netherlands,NL1,https://www.transfermarkt.co.uk/eredivisie/startseite/wettbewerb/NL1,False
RUP,russian-cup,domestic_cup,domestic_cup,141,Russia,RU1,https://www.transfermarkt.co.uk/russian-cup/startseite/wettbewerb/RUP,False
PO1,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
BESC,belgian-supercup,domestic_super_cup,other,19,Belgium,BE1,https://www.transfermarkt.co.uk/belgian-supercup/startseite/wettbewerb/BESC,False
GB1,premier-league,first_tier,domestic_league,189,England,GB1,https://www.transfermarkt.co.uk/premier-league/startseite/wettbewerb/GB1,True
UCOL,uefa-conference-league,uefa_europa_conference_league,international_cup,-1,,,https://www.transfermarkt.co.uk/uefa-conference-league/startseite/pokalwettbewerb/UCOL,False
ELQ,europa-league-qualifikation,europa_league_qualifying,international_cup,-1,,,https://www.transfermarkt.co.uk/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ,False
CGB,efl-cup,league_cup,other,189,England,GB1,https://www.transfermarkt.co.uk/efl-cup/startseite/wettbewerb/CGB,False
DKP,sydbank-pokalen,domestic_cup,domestic_cup,39,Denmark,DK1,https://www.transfermarkt.co.uk/sydbank-pokalen/startseite/wettbewerb/DKP,False
ECLQ,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,-1,,,https://www.transfermarkt.co.uk/uefa-europa-conference-league-qualifikation/startseite/pokalwettbewerb/ECLQ,False
FAC,fa-cup,domestic_cup,domestic_cup,189,England,GB1,https://www.transfermarkt.co.uk/fa-cup/startseite/wettbewerb/FAC,False
NLP,toto-knvb-beker,domestic_cup,domestic_cup,122,Netherlands,NL1,https://www.transfermarkt.co.uk/toto-knvb-beker/startseite/wettbewerb/NLP,False
UKRS,ukrainian-super-cup,domestic_super_cup,other,177,Ukraine,UKR1,https://www.transfermarkt.co.uk/ukrainian-super-cup/startseite/wettbewerb/UKRS,False
UKR1,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
CDR,copa-del-rey,domestic_cup,domestic_cup,157,Spain,ES1,https://www.transfermarkt.co.uk/copa-del-rey/startseite/wettbewerb/CDR,False
CL,uefa-champions-league,uefa_champions_league,international_cup,-1,,,https://www.transfermarkt.co.uk/uefa-champions-league/startseite/pokalwettbewerb/CL,False
GR1,super-league-1,first_tier,domestic_league,56,Greece,GR1,https://www.transfermarkt.co.uk/super-league-1/startseite/wettbewerb/GR1,False
TR1,super-lig,first_tier,domestic_league,174,Turkey,TR1,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1,False
POCP,allianz-cup,domestic_cup,domestic_cup,136,Portugal,PO1,https://www.transfermarkt.co.uk/allianz-cup/startseite/wettbewerb/POCP,False
GBCS,community-shield,domestic_super_cup,other,189,England,GB1,https://www.transfermarkt.co.uk/community-shield/startseite/wettbewerb/GBCS,False
KLUB,fifa-klub-wm,fifa_club_world_cup,other,-1,,,https://www.transfermarkt.co.uk/fifa-klub-wm/startseite/pokalwettbewerb/KLUB,False
L1,bundesliga,first_tier,domestic_league,40,Germany,L1,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/L1,True
RU1,premier-liga,first_tier,domestic_league,141,Russia,RU1,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/RU1,False
SC1,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
SCI,supercoppa-italiana,domestic_super_cup,other,75,Italy,IT1,https://www.transfermarkt.co.uk/supercoppa-italiana/startseite/wettbewerb/SCI,False
BE1,jupiler-pro-league,first_tier,domestic_league,19,Belgium,BE1,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1,False
CLQ,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,-1,,,https://www.transfermarkt.co.uk/uefa-champions-league-qualifikation/startseite/pokalwettbewerb/CLQ,False
DFL,dfl-supercup,domestic_super_cup,other,40,Germany,L1,https://www.transfermarkt.co.uk/dfl-supercup/startseite/wettbewerb/DFL,False
SFA,sfa-cup,domestic_cup,domestic_cup,190,Scotland,SC1,https://www.transfermarkt.co.uk/sfa-cup/startseite/wettbewerb/SFA,False
UKRP,ukrainian-cup,domestic_cup,domestic_cup,177,Ukraine,UKR1,https://www.transfermarkt.co.uk/ukrainian-cup/startseite/wettbewerb/UKRP,False
DFB,dfb-pokal,domestic_cup,domestic_cup,40,Germany,L1,https://www.transfermarkt.co.uk/dfb-pokal/startseite/wettbewerb/DFB,False
FRCH,trophee-des-champions,domestic_super_cup,other,50,France,FR1,https://www.transfermarkt.co.uk/trophee-des-champions/startseite/wettbewerb/FRCH,False
